aboutText,age,caste,city,college,employedIn,height,profileID,religion
,48,Sindhi,"Mumbai, Maharashtra, India",,,5ft 1in,mumf1357641,Hindu
,48,Sikh - Gursikh,"Delhi, Delhi, India",Nagaland University,Not Working,5ft 2in,SMF1537448,Sikh
,48,Shewetamber,"Pune, Maharashtra, India",,Private Sector,5ft 7in,punf751292,Jain
,48,Maratha,"Nasik, Maharashtra, India",,,5ft 4in,nasf1244493,Hindu
,48,Rajput,"Ajmer, Rajasthan, India",,Private Sector,5ft 2in,ajmf1022768,Hindu
,48,Others,"Bangalore, Karnataka, India",,,5ft,banf1308774,Christian
,48,Brahmin,"Delhi, Delhi, India",,,5ft 2in,delf1027411,Hindu
,48,Vaishnav Vania,"Valsad, Gujarat, India",,,5ft 1in,vlsf1021058,Hindu
,48,Nair,"Dubai, Dubai","Other College, Mumbai University",Private Sector,5ft 2in,smi_65_uae,Hindu
,48,Protestant,"Bangalore, Karnataka, India",,,5ft 3in,banf1087726,Christian
,48,,"Delhi, Delhi, India",,,5ft 6in,delf1027893,Others
,48,Punjabi,"Rest of Delhi, Delhi, India",Delhi University,Private Sector,5ft 2in,ncrf762298,Hindu
"Beautiful, Fair, Slim, Cheerful, Noble with pleasing mannerism. Working as an Accounts Officer in the Ministry of Defense. God fearing and looks are very young for her age, without spectacles and with very good health.
				  ",48,Khatri,"Delhi, Delhi, India",ICWA,Central Government,5ft 2in,SMF1589244,Hindu
,48,Karana,"Bangalore, Karnataka, India",,,5ft 3in,banf900962,Hindu
"Loving by all, confident, self dependent, kind hearten, simple, believe in god. Love to read and cook and also hard working.",48,Kayastha,"Delhi, Delhi, India",,Private Sector,5ft 4in,SMF1585446,Hindu
,48,Catholic,Others,,,5ft 5in,othf1346313,Christian
,48,Catholic,"Mumbai, Maharashtra, India",,,5ft 6in,mumf352793,Christian
,48,Kayastha,"Rest of West Bengal, West Bengal, India",,Others,5ft 1in,wesf710530,Hindu
,48,Chandraseniya Kayastha Prab,"Mumbai, Maharashtra, India",,,5ft 6in,mumf456036,Hindu
,48,Brahmin -Gowd Saraswat,"Mumbai, Maharashtra, India",,,5ft 2in,mumf271574,Hindu
,48,Malayalee,"Gwalior, Madhya Pradesh, India",,,5ft 3in,gwaf170728,Hindu
,48,Others,"Mumbai, Maharashtra, India",,,5ft 2in,mumf1337096,Christian
,48,Maratha,,,Central Government,5ft 1in,SMF1555510,Hindu
,48,Brahmin,"Delhi, Delhi, India",,,5ft 1in,delf840933,Hindu
,48,Brahmin,"Chandigarh, Chandigarh, India",,,5ft 2in,chaf423764,Hindu
,48,Lohana,"Ahmedabad, Gujarat, India",,,5ft 3in,ahef559872,Hindu
,48,Sahiti Sindhi,"Vadodara, Gujarat, India","Maharaja Sayajirao University, Gujarat",Others,5ft 4in,SMF1551150,Hindu
,48,Yadav,"Coimbatore, Tamil Nadu, India","Madurai Kamaraj University, Tamil Nadu",Others,5ft 6in,SMF1504390,Hindu
,48,Others,Others,,,5ft,othf917797,Christian
,48,Arora,"Mumbai, Maharashtra, India","Other College, Delhi University",Others,5ft 2in,SMF1530872,Hindu
,48,Lingayath,"Bangalore, Karnataka, India",,,5ft 3in,banf1007205,Hindu
,48,Brahmin - Goswami/Gosavi,"Melbourne, Victoria",,,5ft 5in,melf576131,Hindu
,48,,"Mumbai, Maharashtra, India",,,6ft,0005960444,Others
,48,Kayastha,"Pune, Maharashtra, India",,,5ft 2in,punf862215,Hindu
,48,,"Mumbai, Maharashtra, India",,,5ft 1in,mumf416471,Hindu
,48,Others,Others,"Madurai Kamaraj University, Tamil Nadu",Others,5ft 10in,othf933196,Christian
,48,Brahmin,"Bangalore, Karnataka, India",,,5ft 2in,banf163458,Hindu
,48,Maratha,"Pune, Maharashtra, India",,,5ft 2in,punf919075,Hindu
,48,Others,"Mumbai, Maharashtra, India",,MNC,5ft 2in,mumf144810,Christian
,48,,Others,,,5ft 4in,othf674280,Others
,48,,,,,5ft,thottathil14,Hindu
,48,Kayastha,"Gwalior, Madhya Pradesh, India",,,5ft 1in,x840772,Hindu
,48,Others,Others,,,5ft 2in,othf1029057,Christian
,48,Somvanshi,"Mumbai, Maharashtra, India",,Private Sector,5ft 6in,mumf426843,Hindu
,48,Digambar,"Pune, Maharashtra, India",Gujarat University,Private Sector,5ft 6in,punf414827,Jain
,48,Reddy,"Cuddalore, Tamil Nadu, India",,,5ft 7in,cudf1373329,Hindu
,48,Bengali,"Lonavala, Maharashtra, India",,,5ft 6in,0007573204,Hindu
,48,Brahmin - Punjabi,"Delhi, Delhi, India",,Public Sector,5ft 3in,delf1290439,Hindu
,48,Brahmin,"Hyderabad, Andhra Pradesh, India",,,5ft 4in,hydf1373160,Hindu
,48,Others,"Bangalore, Karnataka, India",,,5ft,banf1228065,Christian
,48,Sunni,"Chennai, Tamil Nadu, India",,,5ft 4in,chef1123410,Muslim
,48,Others,"Melbourne, Victoria",,,5ft 5in,melf1082619,Christian
,48,Scheduled Caste,"Bangalore, Karnataka, India",,,5ft 4in,banf1155336,Hindu
,48,Nair,"Bangalore, Karnataka, India",,,5ft 1in,banf1076684,Hindu
,48,Others,"Mumbai, Maharashtra, India",,,5ft 3in,mumf852715,Christian
,48,Billava,"Mumbai, Maharashtra, India",,Private Sector,5ft 4in,mumf814100,Hindu
,48,Others,"Chennai, Tamil Nadu, India",,Private Sector,5ft,chef872773,Christian
,48,Vaishnav Vanik,"Mumbai, Maharashtra, India",,,5ft 2in,mumf911767,Hindu
,48,Sikh - Jat,Others,,,5ft,othf237979,Sikh
,48,Yadav,"Madurai, Tamil Nadu, India",,,5ft 2in,madf855560,Hindu
,48,Brahmin - Saraswat,"Patiala, Punjab, India",,,5ft 2in,patf927392,Hindu
,48,Catholic,Pennsylvania,,Others,5ft 6in,goddess,Christian
,48,,"Mumbai, Maharashtra, India",,,5ft 11in,mumf475121,Hindu
,48,Brahmin,"Bangalore, Karnataka, India",,,5ft 3in,banf867412,Hindu
,48,Brahmin,Others,,Private Sector,5ft 4in,daftary,Hindu
,48,Sutar,"Mumbai, Maharashtra, India",,,5ft 4in,mumf709455,Hindu
,48,,"Mumbai, Maharashtra, India",,,5ft 3in,mumf247559,Buddhist
,48,Brahmin - Karhade,"Coimbatore, Tamil Nadu, India",,,5ft 6in,coif428934,Hindu
,48,Kayastha,"Kolkata, West Bengal, India",,,5ft,kolf664241,Hindu
,48,Catholic,Others,,,5ft 3in,othf617274,Christian
,48,Kshatriya,Others,,,5ft 3in,othf143763,Hindu
,48,,"Delhi, Delhi, India",,,5ft 4in,sunitamaheswari,Hindu
,48,Sunni,"Hubli, Karnataka, India",,,5ft 2in,hubf138020,Muslim
,48,,,,,5ft 2in,mariettafernandes,Christian
,48,,,,State Government,5ft 2in,roshini_be_in,Hindu
